node_id,ars_id,name,lat,lng,stop_type,in_seoul,toward
102000095,03189,용산구청.이태원시장,37.5341127,126.9900096,일반차로,1,이태원역4번출구.해밀턴호텔
102000096,03190,이태원역1번출구.해밀턴호텔,37.534552,126.993043,일반차로,1,용산구청.이태원시장
102000097,03191,이태원역4번출구.해밀턴호텔,37.534354,126.9934293,일반차로,1,이태원119안전센터
102000098,03192,이태원119안전센터,37.53479,126.996387,일반차로,1,이태원역1번출구.해밀턴호텔
102000099,03193,이태원119안전센터,37.534582,126.996812,일반차로,1,한남동주민센터
102000100,03194,한남동주민센터,37.5370459,127.0004667,일반차로,1,이태원119안전센터
102000101,03195,한남동주민센터,37.5367073,127.0006043,일반차로,1,한강진역.블루스퀘어
102000102,03196,한강진역.블루스퀘어,37.540805,127.001695,일반차로,1,한남동주민센터.리움미술관
102000103,03197,한강진역.블루스퀘어,37.5409292,127.0020254,일반차로,1,서울시기술교육원중부.블루스퀘어
102000104,03198,서울역11번출구,37.5536169,126.9738944,일반차로,1,후암삼거리
102000105,03199,후암삼거리,37.5525408,126.9765772,일반차로,1,후암시장
102000106,03200,후암시장,37.5506892,126.9770645,일반차로,1,용산중고
102000107,03201,후암시장,37.5497467,126.9775446,일반차로,1,후암삼거리
102000108,03202,용산중고,37.5466598,126.9781856,일반차로,1,서울시교육청.남영동주민센터
102000109,03203,용산중고,37.547205,126.978225,일반차로,1,후암시장
102000110,03204,후암동종점.용산중학교,37.5466989,126.9809588,일반차로,1,용산중고.삼광초등학교
102000111,03205,용산고등학교,37.54574,126.977563,일반차로,1,후암동종점.용산중학교
102000112,03206,서울시교육청.남영동주민센터,37.545772,126.976572,일반차로,1,남영동주민센터.갈월동사회복지관
102000113,03207,서울시교육청.남영동주민센터,37.545505,126.975732,일반차로,1,용산중고.삼광초등학교
102000114,03208,남영우체국,37.5451241,126.9732354,일반차로,1,용산고등학교
102000115,03209,갈월동사회복지관.남영우체국,37.545409,126.973962,일반차로,1,숙대입구.서울시교육청역
102000116,03210,한남시범아파트,37.537943,127.0122608,일반차로,1,한남동
102000117,03211,한남시범아파트,37.5377041,127.0126715,일반차로,1,옥정중학교입구
102000118,03212,한남동,37.5339127,127.0084446,일반차로,1,순천향대학병원
102000119,03213,한남동,37.533755,127.0087003,일반차로,1,한남시범아파트
102000120,03214,이촌동동부센트레빌,37.5215595,126.9660096,일반차로,1,이촌1동충신교회앞
102000121,03215,이촌동두산위브트레지움.한강대우아파트,37.5215735,126.9675283,일반차로,1,서부이촌동입구
102000122,03216,이촌1동충신교회앞,37.5212831,126.9684808,일반차로,1,이촌동한강맨션.이촌역
102000123,03217,이촌동한가람아파트.이촌역,37.5206563,126.9718843,일반차로,1,이촌동두산위브트레지움.한강대우아파트
102000124,03218,이촌동한강맨션.이촌역,37.5201805,126.9727098,일반차로,1,신용산초등학교.중경고등학교
102000125,03219,신용산초등학교,37.5198498,126.9745085,일반차로,1,이촌동한가람아파트.이촌역
102000126,03220,신용산초등학교.중경고등학교,37.5190775,126.976248,일반차로,1,이촌동점보아파트
102000127,03221,중경고등학교.이촌동강촌아파트,37.5189178,126.9775234,일반차로,1,신용산초등학교
102000128,03222,이촌동점보아파트,37.5183828,126.9784409,일반차로,1,금강병원.반도아파트
102000129,03223,이촌동현대아파트,37.5185337,126.978712,일반차로,1,중경고등학교.이촌동강촌아파트
102000130,03224,금강병원.반도아파트,37.5177043,126.9811234,일반차로,1,서빙고신동아아파트
102000131,03225,서빙고신동아아파트,37.517937,126.9851054,일반차로,1,이촌동현대아파트
102000132,03226,서빙고신동아아파트,37.517749,126.985203,일반차로,1,서빙고역1번출구
102000133,03227,만리동고개,37.55167,126.9628216,일반차로,1,손기정체육공원
102000134,03228,손기정체육공원,37.5542153,126.966423,일반차로,1,서울역서부
102000135,03229,숙대입구역,37.544479,126.970799,일반차로,1,동자동
102000136,03230,남영역.민주화운동기념관,37.5422202,126.9709245,일반차로,1,청파동주민센터.숙대입구역
102000137,03231,숙명여대도서관앞,37.5448469,126.9672217,일반차로,1,숙명여대정문
102000138,03232,숙명여대도서관앞,37.5448412,126.9664465,일반차로,1,청파치안센터.숙대입구역
102000139,03233,숙명여대정문,37.5449595,126.9641095,일반차로,1,숙명여대도서관앞
